salary,salary_,age,education level,field,position,years of full time job,years of learn programe,[ASP .net],[Assembly],[Bash/Shell/PowerShell],[C],[C#],[C++],[Clojure],[Dart],[Elixir],[Erlang],[Go],[Groovy],[Haskell],[HTML/CSS],[Java],[JavaScript],[Julia],[Kotlin],[Lua],[Objective-C],[Ocaml],[Pascal],[Perl],[PHP],[Python],[R],[Ruby],[Rust],[Scala],[SQL]
1.5,15000,16,2,1,Academic researcher,1,0.5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,15000,16,2,1,Academic researcher,0,0.5,1,1,3,3,1,3,0,1,0,3,3,1,1,1,1,3,1,3,3,3,1,1,3,1,3,3,1,1,1,3
1.5,15000,23,3,2,Data engineer,1,0.5,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
1.5,15000,19,3,3,CTO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,15000,16,3,3,CTO,0,0.5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,15000,19,1,4,IT support,1.5,1.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,15000,16,2,5,Back-end developer,0,0.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,15000,16,3,5,Back-end developer,1,0.5,3,1,1,1,1,1,1,1,1,3,3,3,3,3,1,1,3,3,3,3,1,1,1,3,2,1,1,1,3,1
1.5,15000,33,6,5,Game or Graphics developer,13,9,2,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,15000,23,8,3,CTO,8.5,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
1.5,15000,19,6,3,Manager,0,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.5,15000,19,6,5,Back-end developer,0,3.5,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1.5,15000,19,6,1,Academic researcher,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.5,15000,23,7,1,Academic researcher,0,8.5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.5,15000,19,6,4,IT support,0,4,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.5,15000,19,6,4,IT support,1,0.5,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1.5,15000,28,6,4,IT support,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,15000,23,6,5,Full-stack developer,1,13,0,1,0,1,1,3,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3
1.5,15000,23,6,5,Front-end developer,0,3.5,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
